trial,val_loss,hidden_size,attention_heads,encoder_length,dropout,learning_rate
0,0.29420751333236694,48,4,42,0.12431868873739667,0.00020366442026830908
1,0.2971404790878296,64,1,21,0.2573450991017149,0.00011992724522955161
2,0.2914544641971588,128,1,42,0.36826214072757374,0.00027520696850790545
3,0.29686930775642395,32,1,21,0.06582955111868832,0.0003570478920909981
4,0.28704145550727844,64,4,10,0.33541149995919195,0.0015882886211970053
5,0.29531458020210266,48,1,42,0.36052445990171433,0.0006342770438858341
6,0.29373234510421753,128,2,42,0.227999741907646,0.0034827974366176905
7,0.29607728123664856,64,4,21,0.3623956494714922,0.0008247575333443025
8,0.28764042258262634,48,4,10,0.1681653099912698,0.003999220074578466
9,0.29488298296928406,128,1,42,0.06801756293749628,0.0002974486379287085
10,0.28906092047691345,64,4,10,0.2564614058426663,0.00040233369618416554
11,0.28790396451950073,48,4,10,0.2218928469757795,0.0018902371659892203
12,0.2940332591533661,64,4,21,0.18094490407948532,0.0036803114690171
13,0.2947852313518524,48,4,42,0.3193850186650283,0.00464152917368852
14,0.2884819507598877,48,1,10,0.08797643066412306,0.0024928101336537402
15,0.29082104563713074,32,1,10,0.3484592873400264,0.0036056984081034617
16,0.29466181993484497,64,4,42,0.2955722164891571,0.002282718927407045
17,0.2896694839000702,64,4,63,0.15266835784447907,0.0006863708119337548
18,0.2907419502735138,64,4,10,0.0723774146941248,0.0026037634697927206
19,0.2879489064216614,48,4,10,0.3514155262089881,0.001326704048666782
